コード,企業名,市場区分,業種,年度,売上高（億円）,営業利益（億円）,経常利益（億円）,純利益（億円）,EPS,ROE,ROA,IT投資比率,IT投資規模（億円）
7203.0,トヨタ自動車,プライム（内国株式）,自動車・関連部品,2025/03,480367.0,47956.0,,47651.0,359.56,13.26,5.09,0.0114,5476
7267.0,本田技研工業,プライム（内国株式）,自動車・関連部品,2025/03,216888.0,12135.0,,8358.0,178.93,6.78,2.72,0.0114,2473
8058.0,三菱商事,プライム（内国株式）,商社,2025/03,186176.0,3711.0,,9507.0,236.97,10.15,4.42,0.0084,1564
8031.0,三井物産,プライム（内国株式）,商社,2025/03,146626.0,4007.0,,9003.0,306.73,11.93,5.36,0.0084,1232
8001.0,伊藤忠商事,プライム（内国株式）,商社,2024/03,140299.0,7029.0,,8018.0,553.0,14.77,5.53,0.0084,1179
9432.0,日本電信電話,プライム（内国株式）,通信,2025/03,137047.0,16496.0,,10000.0,11.96,9.78,3.33,0.0185,2535
8306.0,三菱ＵＦＪフィナンシャル・グループ,プライム（内国株式）,銀行,2025/03,136300.0,,26695.0,18629.0,160.02,9.08,0.45,0.0795,10836
6758.0,ソニーグループ,プライム（内国株式）,機械,2025/03,129571.0,14072.0,,11416.0,188.71,13.96,3.23,0.0114,1477
7201.0,日産自動車,プライム（内国株式）,自動車・関連部品,2025/03,126332.0,698.0,2102.0,-6709.0,-187.08,,,0.0114,1440
5020.0,ＥＮＥＯＳホールディングス,プライム（内国株式）,エネルギー,2025/03,123225.0,1061.0,,2261.0,79.96,7.29,2.57,0.0,0
3382.0,セブン＆アイ・ホールディングス,プライム（内国株式）,小売,2025/02,119728.0,4210.0,3746.0,1731.0,66.62,3.45,1.52,0.0084,1006
6178.0,日本郵政,プライム（内国株式）,サービス,2025/03,114684.0,,8146.0,3706.0,119.3,4.08,0.12,0.0185,2122
8015.0,豊田通商,プライム（内国株式）,商社,2025/03,103096.0,4972.0,,3625.0,343.4,13.81,5.14,0.0084,866
8316.0,三井住友フィナンシャルグループ,プライム（内国株式）,銀行,2025/03,101749.0,,17195.0,11780.0,301.55,8.01,0.38,0.0795,8089
